avgGenomicDist	contactProbability	standardError	noOfLocusPairs	totalOfContactCounts
210000	3.15e-04	0.00e+00	166	185456
420000	2.58e-04	0.00e+00	165	151354
630000	2.15e-04	0.00e+00	164	125002
840000	1.95e-04	0.00e+00	163	112877
1050000	1.84e-04	0.00e+00	162	105925
1260000	1.75e-04	0.00e+00	161	99996
1470000	1.68e-04	0.00e+00	160	95527
1680000	1.60e-04	0.00e+00	159	90514
1890000	1.50e-04	0.00e+00	158	83923
2100000	1.43e-04	0.00e+00	157	79757
2310000	1.38e-04	0.00e+00	156	76498
2520000	1.30e-04	0.00e+00	155	71443
2730000	1.26e-04	0.00e+00	154	68725
2940000	1.23e-04	0.00e+00	153	66576
3150000	1.16e-04	0.00e+00	152	62571
3360000	1.11e-04	0.00e+00	151	59740
3570000	1.05e-04	0.00e+00	150	55735
3780000	1.01e-04	0.00e+00	149	53578
3990000	9.77e-05	0.00e+00	148	51352
4200000	9.37e-05	0.00e+00	147	48882
4410000	9.25e-05	0.00e+00	146	47964
4620000	9.04e-05	0.00e+00	145	46547
4830000	8.58e-05	0.00e+00	144	43871
5040000	8.24e-05	0.00e+00	143	41828
5250000	8.23e-05	0.00e+00	142	41512
5460000	7.73e-05	0.00e+00	141	38702
5670000	7.41e-05	0.00e+00	140	36844
5880000	7.23e-05	0.00e+00	139	35667
6090000	7.01e-05	0.00e+00	138	34321
6300000	6.77e-05	0.00e+00	137	32949
6510000	6.56e-05	0.00e+00	136	31679
6720000	6.44e-05	0.00e+00	135	30861
6930000	6.33e-05	0.00e+00	134	30101
7140000	6.19e-05	0.00e+00	133	29231
7350000	6.04e-05	0.00e+00	132	28314
7560000	5.90e-05	0.00e+00	131	27458
7770000	5.78e-05	0.00e+00	130	26669
7980000	5.67e-05	0.00e+00	129	25955
8189999	5.54e-05	0.00e+00	128	25181
8400000	5.45e-05	0.00e+00	127	24565
8610000	5.38e-05	0.00e+00	126	24081
8820000	5.32e-05	0.00e+00	125	23629
9030000	5.28e-05	0.00e+00	124	23246
9240000	5.22e-05	0.00e+00	123	22795
9450000	5.19e-05	0.00e+00	122	22481
9660000	5.14e-05	0.00e+00	121	22068
9870000	5.07e-05	0.00e+00	120	21583
10080000	4.99e-05	0.00e+00	119	21073
10290000	4.88e-05	0.00e+00	118	20440
10500000	4.82e-05	0.00e+00	117	20015
10710000	4.70e-05	0.00e+00	116	19336
10920000	4.61e-05	0.00e+00	115	18817
11130000	4.55e-05	0.00e+00	114	18431
11340000	4.53e-05	0.00e+00	113	18173
11654529	4.49e-05	0.00e+00	223	35556
12074520	4.46e-05	0.00e+00	219	34708
12494511	4.41e-05	0.00e+00	215	33636
12914502	4.37e-05	0.00e+00	211	32709
13334492	4.33e-05	0.00e+00	207	31845
13754482	4.29e-05	0.00e+00	203	30894
14174472	4.24e-05	0.00e+00	199	29951
14594461	4.22e-05	0.00e+00	195	29181
15014450	4.12e-05	0.00e+00	191	27925
15434438	3.99e-05	0.00e+00	187	26480
15854426	3.85e-05	0.00e+00	183	25005
16274413	3.74e-05	0.00e+00	179	23755
16694400	3.67e-05	0.00e+00	175	22824
17114385	3.63e-05	0.00e+00	171	22018
17534371	3.62e-05	0.00e+00	167	21465
17954355	3.56e-05	0.00e+00	163	20584
18374339	3.50e-05	0.00e+00	159	19741
18794322	3.48e-05	0.00e+00	155	19173
19214304	3.47e-05	0.00e+00	151	18590
19634285	3.42e-05	0.00e+00	147	17870
20054265	3.38e-05	0.00e+00	143	17136
20474244	3.31e-05	0.00e+00	139	16357
20894222	3.25e-05	0.00e+00	135	15580
21314198	3.22e-05	0.00e+00	131	14960
21734173	3.21e-05	0.00e+00	127	14469
22154146	3.19e-05	0.00e+00	123	13938
22574117	3.17e-05	0.00e+00	119	13382
22994086	3.17e-05	0.00e+00	115	12932
23414054	3.14e-05	0.00e+00	111	12386
23834018	3.10e-05	0.00e+00	107	11790
24253980	3.11e-05	0.00e+00	103	11363
24673939	3.11e-05	0.00e+00	99	10920
25093894	3.14e-05	0.00e+00	95	10592
25513846	3.14e-05	0.00e+00	91	10149
26036744	3.11e-05	0.00e+00	129	14231
26666500	3.12e-05	0.00e+00	120	13280
27296216	3.16e-05	0.00e+00	111	12437
27925882	3.19e-05	0.00e+00	102	11558
28555483	3.21e-05	0.00e+00	93	10613
29185000	3.32e-05	0.00e+00	84	9913
29814400	3.50e-05	0.00e+00	75	9332
30443636	3.46e-05	0.00e+00	66	8117
31170810	3.30e-05	0.00e+00	74	8667
32100000	2.83e-05	0.00e+00	70	7028
33432000	2.98e-05	0.00e+00	65	6887
43824375	-9.14e-07	0.00e+00	-1952	6335
