avgGenomicDist	contactProbability	standardError	noOfLocusPairs	totalOfContactCounts
450000	1.36e-03	0.00e+00	78	383047
899999	1.03e-03	0.00e+00	77	286585
1350000	8.80e-04	0.00e+00	76	240731
1800000	8.01e-04	0.00e+00	75	216238
2250000	7.07e-04	0.00e+00	74	188436
2700000	6.09e-04	0.00e+00	73	159967
3150000	5.10e-04	0.00e+00	72	132193
3600000	4.82e-04	0.00e+00	71	123203
4050000	4.51e-04	0.00e+00	70	113618
4500000	4.14e-04	0.00e+00	69	102824
4950000	3.78e-04	0.00e+00	68	92533
5400000	3.40e-04	0.00e+00	67	82134
5850000	3.20e-04	0.00e+00	66	76044
6300000	3.07e-04	0.00e+00	65	71827
6750000	2.93e-04	0.00e+00	64	67532
7200000	2.76e-04	0.00e+00	63	62632
7650000	2.60e-04	0.00e+00	62	58144
8100000	2.49e-04	0.00e+00	61	54720
8550000	2.40e-04	0.00e+00	60	51959
9000000	2.32e-04	0.00e+00	59	49318
9450000	2.24e-04	0.00e+00	58	46835
9900000	2.16e-04	0.00e+00	57	44353
10350000	2.07e-04	0.00e+00	56	41802
10800000	2.01e-04	0.00e+00	55	39773
11250000	1.95e-04	0.00e+00	54	37898
11699999	1.91e-04	0.00e+00	53	36384
12150000	1.88e-04	0.00e+00	52	35258
12600000	1.85e-04	0.00e+00	51	33922
13050000	1.82e-04	0.00e+00	50	32798
13500000	1.80e-04	0.00e+00	49	31750
13949999	1.75e-04	0.00e+00	48	30282
14400000	1.70e-04	0.00e+00	47	28786
14850000	1.67e-04	0.00e+00	46	27669
15300000	1.64e-04	0.00e+00	45	26617
15750000	1.60e-04	0.00e+00	44	25394
16200000	1.58e-04	0.00e+00	43	24501
16649999	1.55e-04	0.00e+00	42	23475
17100000	1.53e-04	0.00e+00	41	22597
17550000	1.51e-04	0.00e+00	40	21759
18000000	1.49e-04	0.00e+00	39	20921
18450000	1.46e-04	0.00e+00	38	20005
18900000	1.46e-04	0.00e+00	37	19420
19350000	1.45e-04	0.00e+00	36	18769
19800000	1.43e-04	0.00e+00	35	18032
20250000	1.42e-04	0.00e+00	34	17382
20700000	1.40e-04	0.00e+00	33	16622
21150000	1.40e-04	0.00e+00	32	16180
21600000	1.40e-04	0.00e+00	31	15599
22050000	1.39e-04	0.00e+00	30	15004
22500000	1.37e-04	0.00e+00	29	14275
22950000	1.36e-04	0.00e+00	28	13718
23400000	1.35e-04	0.00e+00	27	13133
23850000	1.33e-04	0.00e+00	26	12462
24300000	1.32e-04	0.00e+00	25	11900
24750000	1.28e-04	0.00e+00	24	11056
25200000	1.24e-04	0.00e+00	23	10265
25650000	1.22e-04	0.00e+00	22	9667
26100000	1.20e-04	0.00e+00	21	9039
26550000	1.18e-04	0.00e+00	20	8503
27000000	1.15e-04	0.00e+00	19	7896
27450000	1.15e-04	0.00e+00	18	7449
27900000	1.14e-04	0.00e+00	17	6984
28350000	1.16e-04	0.00e+00	16	6695
28800000	1.16e-04	0.00e+00	15	6275
29250000	1.16e-04	0.00e+00	14	5854
29699999	1.18e-04	0.00e+00	13	5527
30149999	1.17e-04	0.00e+00	12	5041
30600000	1.19e-04	0.00e+00	11	4695
31050000	1.11e-04	0.00e+00	10	3989
31500000	1.07e-04	0.00e+00	9	3460
31950000	1.02e-04	0.00e+00	8	2948
32400000	9.70e-05	0.00e+00	7	2445
32850000	8.74e-05	0.00e+00	6	1888
33299999	8.64e-05	0.00e+00	5	1556
33750000	7.39e-05	0.00e+00	4	1064
34200000	1.05e-04	0.00e+00	3	1137
34650000	1.62e-04	0.00e+00	2	1167
35100000	3.33e-04	0.00e+00	1	1198
0	0.00e+00	0.00e+00	0	1250
36000000	-3.45e-04	0.00e+00	-1	1242
36450000	-1.74e-04	0.00e+00	-2	1250
36900000	-1.15e-04	0.00e+00	-3	1245
37350000	-5.59e-05	0.00e+00	-4	805
37800000	-2.18e-05	0.00e+00	-5	393
44072727	-1.72e-07	0.00e+00	-363	225
